transcript_id	transcript
00001	Please call Stella.
00002	Ask her to bring these things with her from the store.
00003	Six spoons of fresh snow peas, five thick slabs of blue cheese, and maybe a snack for her brother Bob.
00004	We also need a small plastic snake and a big toy frog for the kids.
00005	She can scoop these things into three red bags, and we will go meet her Wednesday at the train station.
00006	When the sunlight strikes raindrops in the air, they act as a prism and form a rainbow.
00007	The rainbow is a division of white light into many beautiful colors.
00008	These take the shape of a long round arch, with its path high above, and its two ends apparently beyond the horizon.
00009	There is , according to legend, a boiling pot of gold at one end.
00010	People look, but no one ever finds it.
00011	When a man looks for something beyond his reach, his friends say he is looking for the pot of gold at the end of the rainbow.
00012	Throughout the centuries people have explained the rainbow in various ways.
00013	Some have accepted it as a miracle without physical explanation.
00014	To the Hebrews it was a token that there would be no more universal floods.
00015	The Norsemen considered the rainbow as a bridge over which the gods passed from earth to their home in the sky.
00016	Others have tried to explain the phenomenon physically.
00017	Aristotle thought that the rainbow was caused by reflection of the sun's rays by the rain.
00018	Since then physicists have found that it is not reflection, but refraction by the raindrops which causes the rainbows.
00019	Many complicated ideas about the rainbow have been formed.
00020	The difference in the rainbow depends considerably upon the size of the drops, and the width of the colored band increases as the size of the drops increases.
00021	The actual primary rainbow observed is said to be the effect of super-imposition of a number of bows.
00022	If the red of the second bow falls upon the green of the first, the result is to give a bow with an abnormally wide yellow band, since red and green light when mixed form yellow.
00023	This is a very common type of bow, one showing mainly red and yellow, with little or no green or blue.
00024	Why do you want to come to Edinburgh?
00025	How are you, sir?
00026	So is that it, then?
00027	Do I have a favourite?
00028	What do we do?
00029	People come into the Borders for the beauty of the background.
00030	It's really no great surprise, because the price difference is so much.
00031	A hostile bid is prevented for another nine months.
00032	It was a close call.
00033	In fact, they are the future of investment.
00034	Diving is no part of football.
00035	However, the decision has been welcomed by Scottish Enterprise officials.
00036	You'd better believe it.
00037	It was served by sheriff officers, not by the council.
00038	People were determined to change the Government in the last election.
00039	No details of the talks were given.
00040	I have learned from him.
00041	We are committed to the ban.
00042	Already, he has been a tremendous influence in the dressing room.
00043	I have made that offer.
00044	Four other charges were dropped.
00045	Clearly, it can go either way.
00046	However, the City was in no doubt about the ultimate result.
00047	However, the problem is the timing.
00048	But retail banking would be run from Halifax.
00049	Strathclyde police have appealed for witnesses.
00050	Saddam is not the only example of evil in our world.
00051	I was very pleased with them today, though.
00052	Both sides have been hit by injury.
00053	It could take some time.
